,id,Name,Type,SubType,Rangetype,Sprite,EquipSprite,ArrowSprite,ArrowSpeed,ArrowSize,ArrowRotation,HitEffect,HitSound,HitCount,Tier,BattlePoint,Rare,RarePercent,RareCoung,RanSmeltCount,SmeltUpStat,craftrare,craftrarelist,material,attacktype,minatk,maxatk,atkspeed,castspeed,matk,def,mdef,Str,Dex,Int,Wis,AllStat,AdvanStat,Hit,Exp,Gold,Hp,Mp,Crit,CritDmg,MinAllDmg,MaxAllDmg,RanStatId,SetID,SpeMehod,SpeMehodP,SuccSpe,istwohand,smeltid,smeltcount,maxdotcount,dotdmgup,AdvanEquipID,AdvanNeedItem,AdvanNeedItemHowmany,AdvanGold,AdvanPercent,ChangeId,UpgradeNeedID,SuccType,SuccNeedId,SuccNeedCount
T1 제작 반지,E1008,EquipName/1008,Ring,,,Item/Ring/0,,0,0,0,0,,,0,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,leaf,-1,0,0,0,0,0,0,0,5,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 목걸이,E1009,EquipName/1009,Necklace,,,Item/Necklace/0,,0,0,0,0,,,0,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,jewelry,-1,0,0,0,0,0,0,0,0,0,5,5,0,,0,0,0,0,0,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
제작과 던전제작,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
2티어,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
T2 제작 검,E2000,EquipName/2000,Weapon,Physic,M,Item/Weapon/main/LongSword2,EquipItem/Weapon/main/LongSword2,0,0,0,0,,Attack/Slash1;Attack/Slash2,1,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,iron,0,3,3,0,0,0,0,0,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 활,E2001,EquipName/2001,Weapon,Physic,R,Item/Weapon/main/Bow2,EquipItem/Weapon/main/Bow2,arrow/1043,22,2.2,-135,,Attack/shoot1,1,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,wood,1,2.6,2.6,0,0,0,0,0,0,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 지팡이,E2002,EquipName/2002,Weapon,Magic,MR,Item/Weapon/main/Staff2,EquipItem/Weapon/main/Staff2,arrow/icon922,15,1,0,,Attack/spell1,1,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,wood,1,1,1,0,0.2,3,0,0,0,0,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 단검,E2003,EquipName/2003,Weapon,,M,Item/Weapon/main/Dagger2,EquipItem/Weapon/main/Dagger2,0,0,0,0,,Attack/Slash1;Attack/Slash2,2,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,iron,0,1.4,1.4,0.13,0,0,0,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 투구,E2004,EquipName/2004,Helmet,,,Item/Helmet/1,,0,0,0,0,,,0,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 갑옷,E2005,EquipName/2005,Chest,,,Item/Chest/1,,0,0,0,0,,,0,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 장갑,E2006,EquipName/2006,Glove,,,Item/Glove/1,,0,0,0,0,,,0,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 신발,E2007,EquipName/2007,Boot,,,Item/Boot/1,,0,0,0,0,,,0,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 반지,E2008,EquipName/2008,Ring,,,Item/Ring/1,,0,0,0,0,,,0,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,leaf,-1,0,0,0,0,0,0,0,10,10,0,0,0,,0,0,0,0,0.01,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T2 제작 목걸이,E2009,EquipName/2009,Necklace,,,Item/Necklace/1,,0,0,0,0,,,0,2,200,1,60;20;0;0;0;0;0;0,2,1;2,0,0,1,jewelry,-1,0,0,0,0,0,0,0,0,0,10,10,0,,0,0,0,0,0.01,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
3티어,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
T3 제작 검,E3000,EquipName/3000,Weapon,Physic,M,Item/Weapon/main/LongSword2,EquipItem/Weapon/main/LongSword2,0,0,0,0,,Attack/Slash1;Attack/Slash2,1,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,iron,0,4.5,4.5,0,0,0,0,0,8,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 활,E3001,EquipName/3001,Weapon,Physic,R,Item/Weapon/main/Bow2,EquipItem/Weapon/main/Bow2,arrow/1043,22,2.2,-135,,Attack/shoot1,1,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,wood,1,3.9,3.9,0,0,0,0,0,0,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 지팡이,E3002,EquipName/3002,Weapon,Magic,MR,Item/Weapon/main/Staff2,EquipItem/Weapon/main/Staff2,arrow/icon922,15,1,0,,Attack/spell1,1,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,wood,1,1,1,0,0.25,4.5,0,0,0,0,4,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 단검,E3003,EquipName/3003,Weapon,,M,Item/Weapon/main/Dagger2,EquipItem/Weapon/main/Dagger2,0,0,0,0,,Attack/Slash1;Attack/Slash2,2,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,iron,0,2.1,2.1,0.16,0,0,0,0,4,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 투구,E3004,EquipName/3004,Helmet,,,Item/Helmet/1,,0,0,0,0,,,0,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 갑옷,E3005,EquipName/3005,Chest,,,Item/Chest/1,,0,0,0,0,,,0,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 장갑,E3006,EquipName/3006,Glove,,,Item/Glove/1,,0,0,0,0,,,0,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 신발,E3007,EquipName/3007,Boot,,,Item/Boot/1,,0,0,0,0,,,0,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 반지,E3008,EquipName/3008,Ring,,,Item/Ring/1,,0,0,0,0,,,0,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leaf,-1,0,0,0,0,0,0,0,4,4,0,0,0,,0,0,0,0,0.02,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T3 제작 목걸이,E3009,EquipName/3009,Necklace,,,Item/Necklace/1,,0,0,0,0,,,0,3,300,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,jewelry,-1,0,0,0,0,0,0,0,0,0,4,4,0,,0,0,0,0,0.02,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
4티어,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
T4 제작 검,E4000,EquipName/4000,Weapon,Physic,M,Item/Weapon/main/LongSword3,EquipItem/Weapon/main/LongSword3,0,0,0,0,,Attack/Slash1;Attack/Slash2,1,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,iron,0,6,6,0,0,0,0,0,16,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 활,E4001,EquipName/4001,Weapon,Physic,R,Item/Weapon/main/Bow3,EquipItem/Weapon/main/Bow3,arrow/1043,22,2.2,-135,,Attack/shoot1,1,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,wood,1,5.2,5.2,0,0,0,0,0,0,16,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 지팡이,E4002,EquipName/4002,Weapon,Magic,MR,Item/Weapon/main/Staff4,EquipItem/Weapon/main/Staff4,arrow/icon922,15,1,0,,Attack/spell1,1,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,wood,1,1,1,0,0.3,6,0,0,0,0,8,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 단검,E4003,EquipName/4003,Weapon,,M,Item/Weapon/main/Dagger5,EquipItem/Weapon/main/Dagger5,0,0,0,0,,Attack/Slash1;Attack/Slash2,2,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,iron,0,2.8,2.8,0.2,0,0,0,0,8,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 투구,E4004,EquipName/4004,Helmet,,,Item/Helmet/2,,0,0,0,0,,,0,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 갑옷,E4005,EquipName/4005,Chest,,,Item/Chest/2,,0,0,0,0,,,0,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 장갑,E4006,EquipName/4006,Glove,,,Item/Glove/2,,0,0,0,0,,,0,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 신발,E4007,EquipName/4007,Boot,,,Item/Boot/2,,0,0,0,0,,,0,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 반지,E4008,EquipName/4008,Ring,,,Item/Ring/2,,0,0,0,0,,,0,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,leaf,-1,0,0,0,0,0,0,0,8,8,0,0,0,,0,0,0,0,0.04,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T4 제작 목걸이,E4009,EquipName/4009,Necklace,,,Item/Necklace/2,,0,0,0,0,,,0,4,400,1,60;20;0;0;0;0;0;0,2,1;3,0,0,1,jewelry,-1,0,0,0,0,0,0,0,0,0,8,8,0,,0,0,0,0,0.04,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
5티어,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
T5 제작 검,E5000,EquipName/5000,Weapon,Physic,M,Item/Weapon/main/LongSword3,EquipItem/Weapon/main/LongSword3,0,0,0,0,,Attack/Slash1;Attack/Slash2,1,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,iron,0,7.5,7.5,0,0,0,0,0,32,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 활,E5001,EquipName/5001,Weapon,Physic,R,Item/Weapon/main/Bow3,EquipItem/Weapon/main/Bow3,arrow/1043,22,2.2,-135,,Attack/shoot1,1,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,wood,1,6.5,6.5,0,0,0,0,0,0,32,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 지팡이,E5002,EquipName/5002,Weapon,Magic,MR,Item/Weapon/main/Staff4,EquipItem/Weapon/main/Staff4,arrow/icon922,15,1,0,,Attack/spell1,1,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,wood,1,1,1,0,0.35,7.5,0,0,0,0,16,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 단검,E5003,EquipName/5003,Weapon,,M,Item/Weapon/main/Dagger5,EquipItem/Weapon/main/Dagger5,0,0,0,0,,Attack/Slash1;Attack/Slash2,2,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,iron,0,3.5,3.5,0.23,0,0,0,0,16,16,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 투구,E5004,EquipName/5004,Helmet,,,Item/Helmet/2,,0,0,0,0,,,0,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 갑옷,E5005,EquipName/5005,Chest,,,Item/Chest/2,,0,0,0,0,,,0,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 장갑,E5006,EquipName/5006,Glove,,,Item/Glove/2,,0,0,0,0,,,0,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 신발,E5007,EquipName/5007,Boot,,,Item/Boot/2,,0,0,0,0,,,0,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 반지,E5008,EquipName/5008,Ring,,,Item/Ring/2,,0,0,0,0,,,0,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,leaf,-1,0,0,0,0,0,0,80,16,16,0,0,0,,0,0,0,0,0.8,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T5 제작 목걸이,E5009,EquipName/5009,Necklace,,,Item/Necklace/2,,0,0,0,0,,,0,5,500,1,60;20;0;0;0;0;0;0,2,1;4,0,0,1,jewelry,-1,0,0,0,0,0,0,80,0,0,16,16,0,,0,0,0,0,0.8,0,0,0,0,0,1010,1023,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
보조무기,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
낡은 방패,E1014,EquipName/1014,SWeapon,,,Item/Weapon/Second/Shield1,EquipItem/Weapon/Second/Shield1,0,0,0,0,,,0,1,500,2,60;20;0;0;0;0;0;0,2,0,2,0,2,wood,-1,0.3,0.3,0,0,0,0,0,50,0,0,0,0,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
녹슨 보조 단검,E1015,EquipName/1015,SWeapon,,,Item/Weapon/Second/S_Dagger1,EquipItem/Weapon/Second/S_Dagger1,0,0,0,0,,,0,1,500,2,60;20;0;0;0;0;0;0,2,0,2,0,2,iron,-1,0.5,0.5,0,0,0,0,0,0,50,0,0,0,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
오래된 마법책,E1016,EquipName/1016,SWeapon,,,Item/Weapon/Second/MagicBook1,EquipItem/Weapon/Second/MagicBook1,0,0,0,0,,,0,1,500,2,60;20;0;0;0;0;0;0,2,0,2,0,2,wood,-1,0,0,0,0,1,0,0,0,0,25,25,0,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
마나 단검,E1017,EquipName/1017,SWeapon,,,Item/Weapon/Second/S_Dagger7,EquipItem/Weapon/Second/S_Dagger7,0,0,0,0,,,0,1,500,2,60;20;0;0;0;0;0;0,3,0,2,0,2,iron,-1,0.4,0.4,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
레이즈의 혈액,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,1000,500000000
레이즈의 대검,E5500,EquipName/5500,Weapon,Physic,M,Item/Weapon/Main/LongSword5,EquipItem/Weapon/Main/LongSword5,0,0,0,0,,Attack/Slash1;Attack/Slash2,1,5,700,2,0;0;0;80;15;7;2,3,2;4,0,0,2,iron,0,7.5,7.5,0,0,0,0,0,100,0,0,0,0,,0,0,0,0,0,20,0.2,0,0,0,0,1001,1170,1001,FALSE,99000,3,0,0,E5504,1005,4,2000000,100,,,gold,1000,500000000
레이즈의 크로스 보우,E5501,EquipName/5501,Weapon,Physic,R,Item/Weapon/Main/Bow9,EquipItem/Weapon/Main/Bow9,arrow/1041,22,2.2,-135,,Attack/shoot1,1,5,700,2,0;0;0;80;15;7;2,3,2;4,0,0,2,wood,1,6.5,6.5,0,0,0,0,0,0,100,0,0,0,,0,0,0,0,0,20,0.2,8,8,8,0,1001,1170,1001,FALSE,99000,3,0,0,E5505,1005,4,2000000,100,,,gold,1000,500000000
레이즈의 완드,E5502,EquipName/5502,Weapon,Magic,MR,Item/Weapon/Main/Wand2,EquipItem/Weapon/Main/Wand2,arrow/icon921,15,1,0,,Attack/spell1,1,5,700,2,0;0;0;80;15;7;2,3,2;4,0,0,2,wood,1,1,1,0,0.4,7.5,0,0,0,0,50,50,0,,0,0,0,0,0,20,0.2,0,0,0,0,1001,1170,1001,FALSE,99000,3,0,0,E5506,1005,4,2000000,100,,,gold,1000,500000000
레이즈의 단검,E5503,EquipName/5503,Weapon,Physic,M,Item/Weapon/Main/피의 단검,EquipItem/Weapon/Main/피의 단검,0,0,0,0,,Attack/Slash1;Attack/Slash2,2,5,700,2,0;0;0;80;15;7;2,3,2;4,0,0,2,iron,0,3.5,3.5,0.23,0,0,0,0,50,50,0,0,0,,0,0,0,0,0,20,0.2,0,0,0,0,1001,1170,1001,FALSE,99000,3,0,0,E5507,1005,4,2000000,100,,,gold,1000,500000000
레이즈의 대검(대성공),E5504,EquipName/5504,Weapon,Physic,M,Item/Weapon/Main/LongSword5,EquipItem/Weapon/Main/LongSword5,0,0,0,0,,Attack/Slash1;Attack/Slash2,1,5,850,2,0;0;0;0;80;8;2,2,5;5,0,0,2,iron,0,7.5,7.5,0,0,0,0,0,200,0,0,0,0,,0,0,0,0,0,20,0.2,0,0,0,0,1001,1170,1001,FALSE,99000,3,0,0,,,,,,,,gold,1000,500000000
