description,Tier,id,num,itemid,itemnames,minhowmany,maxhowmany,rate,isshow,Ispercent,,,,,,,
일반 장피 파편,★★★★,1014,59,1700,,15,15,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★★★,1015,60,1000,,160,320,1000000,TRUE,FALSE,,,,,,,
경험치,★★★★,1015,61,1002,,840,840,1000000,TRUE,FALSE,,,,,,,
결정,★★★★,1015,62,11,,16,32,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★★,1015,63,1700,,16,16,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★,1016,64,1000,,320,640,1000000,TRUE,FALSE,,,,,,,
경험치,★,1016,65,1002,,1000,1000,1000000,TRUE,FALSE,,,,,,,
결정,★,1016,66,12,,17,34,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1016,67,1700,,17,17,200000,TRUE,FALSE,,,,,,,
맵3 보스,★,1017,68,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,★,1017,69,1002,,1100,1100,1000000,TRUE,FALSE,,,,,,,
결정,★,1017,70,12,,18,36,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1017,71,1700,,18,18,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★,1018,72,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,★,1018,73,1002,,1200,1200,1000000,TRUE,FALSE,,,,,,,
결정,★,1018,74,12,,19,38,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1018,75,1700,,19,19,200000,TRUE,FALSE,,,,,,,
맵3 보스,★,1019,76,1000,,320,640,1000000,TRUE,FALSE,,,,,,,
경험치,★,1019,77,1002,,1300,1300,1000000,TRUE,FALSE,,,,,,,
결정,★,1019,78,12,,20,40,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1019,79,1700,,20,20,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★,1020,80,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1020,81,1002,,1400,1400,1000000,TRUE,FALSE,,,,,,,
결정,★★,1020,82,12,,21,42,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1020,83,1700,,21,21,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★,1021,84,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1021,85,1002,,1520,1520,1000000,TRUE,FALSE,,,,,,,
결정,★★,1021,86,12,,22,44,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1021,87,1700,,22,22,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★,1022,88,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1022,89,1002,,1640,1640,1000000,TRUE,FALSE,,,,,,,
결정,★★,1022,90,12,,23,46,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1022,91,1700,,23,23,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★,1023,92,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1023,93,1002,,1760,1760,1000000,TRUE,FALSE,,,,,,,
결정,★★,1023,94,12,,24,48,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1023,95,1700,,24,24,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★,1024,96,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1024,97,1002,,1880,1880,1000000,TRUE,FALSE,,,,,,,
결정,★★,1024,98,12,,25,50,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1024,99,1700,,25,25,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★,1025,100,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1025,101,1002,,2000,2000,1000000,TRUE,FALSE,,,,,,,
결정,★★,1025,102,12,,26,52,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1025,103,1700,,26,26,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★,1026,104,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1026,105,1002,,2120,2120,1000000,TRUE,FALSE,,,,,,,
결정,★★,1026,106,12,,27,54,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1026,107,1700,,27,27,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★,1027,108,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1027,109,1002,,2240,2240,1000000,TRUE,FALSE,,,,,,,
결정,★★,1027,110,12,,28,56,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1027,111,1700,,28,28,700000,TRUE,FALSE,,,,,,,
제국,7,1028,112,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,7,1028,113,1002,,2360,2360,1000000,TRUE,FALSE,,,,,,,
결정,7,1028,114,12,,29,58,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,1028,115,1700,,29,29,200000,TRUE,FALSE,,,,,,,
제국 보스,7,1029,116,1000,,2560,5120,1000000,TRUE,FALSE,,,,,,,
경험치,7,1029,117,1002,,2480,2480,1000000,TRUE,FALSE,,,,,,,
결정,7,1029,118,12,,30,60,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,1029,119,1700,,30,30,700000,TRUE,FALSE,,,,,,,
밀림,7,1030,120,1000,,2560,5120,1000000,TRUE,FALSE,,,,,,,
경험치,7,1030,121,1002,,2600,2600,1000000,TRUE,FALSE,,,,,,,
결정,7,1030,122,12,,31,62,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,1030,123,1700,,31,31,200000,TRUE,FALSE,,,,,,,
밀림보스,7,1031,124,1000,,2560,5120,1000000,TRUE,FALSE,,,,,,,
경험치,7,1031,125,1002,,2720,2720,1000000,TRUE,FALSE,,,,,,,
결정,7,1031,126,12,,32,64,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,1031,127,1700,,32,32,700000,TRUE,FALSE,,,,,,,
드래고니아,7,1032,128,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,7,1032,129,1002,,2840,2840,1000000,TRUE,FALSE,,,,,,,
결정,7,1032,130,12,,33,66,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,1032,131,1700,,33,33,200000,TRUE,FALSE,,,,,,,
드래고니아 보스,7,1033,132,1000,,2560,5120,1000000,TRUE,FALSE,,,,,,,
경험치,7,1033,133,1002,,2960,2960,1000000,TRUE,FALSE,,,,,,,
결정,7,1033,134,12,,34,68,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,1033,135,1700,,34,34,700000,TRUE,FALSE,,,,,,,
감염된 농장,던전2,3000,136,1000,골드,40,80,1000000,TRUE,FALSE,,,,,,,
경험치,던전2,3000,137,1002,경험치,480,480,1000000,TRUE,FALSE,,,,,,,
결정,던전2,3000,138,10,하급 결정,11,22,1000000,TRUE,FALSE,,,,,,,
일반 장피 파편,던전2,3000,139,1700,T3 무기 제작석,11,11,400000,TRUE,FALSE,,,,,,,
보스,던전2,3001,140,1000,골드,80,160,1000000,TRUE,FALSE,,,,,,,
경험치,던전2,3001,141,1002,경험치,540,540,1000000,TRUE,FALSE,,,,,,,
결정,던전2,3001,142,10,하급 결정,12,24,1000000,TRUE,FALSE,,,,,,,
일반 장피 파편,던전2,3001,143,1700,T3 무기 제작석,12,12,1000000,TRUE,FALSE,,,,,,,
보스 재료,던전2,3001,144,3000,보스재료,1,1,150000,TRUE,FALSE,,,,,,,
전설 비법서,던전2,3001,145,1005,비법서,1,1,100000,TRUE,FALSE,,,,,,,
늪 지대,던전3,3002,146,1000,골드,80,160,1000000,TRUE,FALSE,,,,,,,
경험치,던전3,3002,147,1002,경험치,760,760,1000000,TRUE,FALSE,,,,,,,
결정,던전3,3002,148,11,하급 결정,15,30,1000000,TRUE,FALSE,,,,,,,
일반 장피 파편,던전3,3002,149,1700,T3 무기 제작석,15,15,400000,TRUE,FALSE,,,,,,,
보스,던전3,3003,150,1000,골드,160,320,1000000,TRUE,FALSE,,,,,,,
경험치,던전3,3003,151,1002,경험치,840,840,1000000,TRUE,FALSE,,,,,,,
결정,던전3,3003,152,11,하급 결정,16,32,1000000,TRUE,FALSE,,,,,,,
일반 장피 파편,던전3,3003,153,1700,T3 무기 제작석,16,16,1000000,TRUE,FALSE,,,,,,,
보스 재료,던전3,3003,154,3001,보스재료,1,1,150000,TRUE,FALSE,,,,,,,
전설 비법서,던전3,3003,155,1005,비법서,1,1,100000,TRUE,FALSE,,,,,,,
실험실,8,1034,156,1000,,5120,10240,1000000,TRUE,FALSE,,,,,,,
경험치,8,1034,157,1002,,3200,3200,1000000,TRUE,FALSE,,,,,,,
결정,8,1034,158,13,,35,70,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1034,159,1700,,35,35,200000,TRUE,FALSE,,,,,,,
보스,8,1035,160,1000,,5120,10240,1000000,TRUE,FALSE,,,,,,,
경험치,8,1035,161,1002,,3200,3200,1000000,TRUE,FALSE,,,,,,,
결정,8,1035,162,13,,36,70,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1035,163,1700,,36,35,700000,TRUE,FALSE,,,,,,,
검은 대지,8,1036,164,1000,,7680,15360,1000000,TRUE,FALSE,,,,,,,
경험치,8,1036,165,1002,,3440,3440,1000000,TRUE,FALSE,,,,,,,
결정,8,1036,166,13,,37,74,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1036,167,1700,,37,37,200000,TRUE,FALSE,,,,,,,
보스,8,1037,168,1000,,7680,15360,1000000,TRUE,FALSE,,,,,,,
경험치,8,1037,169,1002,,3440,3440,1000000,TRUE,FALSE,,,,,,,
결정,8,1037,170,13,,38,76,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1037,171,1700,,38,38,700000,TRUE,FALSE,,,,,,,
빙결 지대,8,1038,172,1000,,8960,17920,1000000,TRUE,FALSE,,,,,,,
경험치,8,1038,173,1002,,3560,3560,1000000,TRUE,FALSE,,,,,,,
결정,8,1038,174,13,,39,78,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1038,175,1700,,39,39,200000,TRUE,FALSE,,,,,,,
보스,8,1039,176,1000,,8960,17920,1000000,TRUE,FALSE,,,,,,,
경험치,8,1039,177,1002,,3560,3560,1000000,TRUE,FALSE,,,,,,,
결정,8,1039,178,13,,40,80,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1039,179,1700,,40,40,700000,TRUE,FALSE,,,,,,,
신비로운 숲,8,1040,180,1000,,8960,17920,1000000,TRUE,FALSE,,,,,,,
경험치,8,1040,181,1002,,3560,3560,1000000,TRUE,FALSE,,,,,,,
결정,8,1040,182,13,,41,82,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1040,183,1700,,41,41,200000,TRUE,FALSE,,,,,,,
보스,8,1041,184,1000,,8960,17920,1000000,TRUE,FALSE,,,,,,,
경험치,8,1041,185,1002,,3560,3560,1000000,TRUE,FALSE,,,,,,,
결정,8,1041,186,13,,42,84,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,8,1041,187,1700,,42,42,700000,TRUE,FALSE,,,,,,,
공허,9,1042,188,1000,,10240,20480,1000000,TRUE,FALSE,,,,,,,
경험치,9,1042,189,1002,,3680,3680,1000000,TRUE,FALSE,,,,,,,
결정,9,1042,190,13,,43,86,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1042,191,1700,,43,43,200000,TRUE,FALSE,,,,,,,
보스,9,1043,192,1000,,10240,20480,1000000,TRUE,FALSE,,,,,,,
경험치,9,1043,193,1002,,3680,3680,1000000,TRUE,FALSE,,,,,,,
결정,9,1043,194,13,,44,88,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1043,195,1700,,44,44,700000,TRUE,FALSE,,,,,,,
오즈니아,9,1044,196,1000,,11520,23040,1000000,TRUE,FALSE,,,,,,,
경험치,9,1044,197,1002,,3800,3800,1000000,TRUE,FALSE,,,,,,,
결정,9,1044,198,13,,43,86,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1044,199,1700,,43,43,200000,TRUE,FALSE,,,,,,,
보스,9,1045,200,1000,,11520,23040,1000000,TRUE,FALSE,,,,,,,
경험치,9,1045,201,1002,,3800,3800,1000000,TRUE,FALSE,,,,,,,
결정,9,1045,202,13,,44,88,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1045,203,1700,,44,44,700000,TRUE,FALSE,,,,,,,
마왕성 입구,9,1046,204,1000,,12800,25600,1000000,TRUE,FALSE,,,,,,,
경험치,9,1046,205,1002,,3920,3920,1000000,TRUE,FALSE,,,,,,,
결정,9,1046,206,13,,43,86,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1046,207,1700,,43,43,200000,TRUE,FALSE,,,,,,,
보스,9,1047,208,1000,,12800,25600,1000000,TRUE,FALSE,,,,,,,
경험치,9,1047,209,1002,,3920,3920,1000000,TRUE,FALSE,,,,,,,
결정,9,1047,210,13,,44,88,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1047,211,1700,,44,44,700000,TRUE,FALSE,,,,,,,
오염 지역,9,1048,212,1000,,14080,28160,1000000,TRUE,FALSE,,,,,,,
경험치,9,1048,213,1002,,4040,4040,1000000,TRUE,FALSE,,,,,,,
결정,9,1048,214,13,,45,90,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1048,215,1700,,45,45,200000,TRUE,FALSE,,,,,,,
보스,9,1049,216,1000,,14080,28160,1000000,TRUE,FALSE,,,,,,,
경험치,9,1049,217,1002,,4040,4040,1000000,TRUE,FALSE,,,,,,,
결정,9,1049,218,13,,46,92,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,9,1049,219,1700,,46,46,700000,TRUE,FALSE,,,,,,,
용의 나라,10,1050,220,1000,,15360,30720,1000000,TRUE,FALSE,,,,,,,
경험치,10,1050,221,1002,,4280,4280,1000000,TRUE,FALSE,,,,,,,
결정,10,1050,222,14,,47,94,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1050,223,1700,,47,47,200000,TRUE,FALSE,,,,,,,
보스,10,1051,224,1000,,15360,30720,1000000,TRUE,FALSE,,,,,,,
경험치,10,1051,225,1002,,4400,4400,1000000,TRUE,FALSE,,,,,,,
결정,10,1051,226,14,,48,96,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1051,227,1700,,48,48,700000,TRUE,FALSE,,,,,,,
심판의 땅,10,1052,228,1000,,16640,33280,1000000,TRUE,FALSE,,,,,,,
경험치,10,1052,229,1002,,4520,4520,1000000,TRUE,FALSE,,,,,,,
결정,10,1052,230,14,,49,98,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1052,231,1700,,49,49,200000,TRUE,FALSE,,,,,,,
보스,10,1053,232,1000,,17920,35840,1000000,TRUE,FALSE,,,,,,,
경험치,10,1053,233,1002,,4640,4640,1000000,TRUE,FALSE,,,,,,,
결정,10,1053,234,14,,50,100,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1053,235,1700,,50,50,700000,TRUE,FALSE,,,,,,,
칸의 연구소,10,1054,236,1000,,19200,38400,1000000,TRUE,FALSE,,,,,,,
경험치,10,1054,237,1002,,4760,4760,1000000,TRUE,FALSE,,,,,,,
결정,10,1054,238,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1054,239,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1055,240,1000,,20480,40960,1000000,TRUE,FALSE,,,,,,,
경험치,10,1055,241,1002,,4880,4880,1000000,TRUE,FALSE,,,,,,,
결정,10,1055,242,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1055,243,1700,,52,52,700000,TRUE,FALSE,,,,,,,
망령의 숲,10,1056,244,1000,,24320,48640,1000000,TRUE,FALSE,,,,,,,
경험치,10,1056,245,1002,,5000,5000,1000000,TRUE,FALSE,,,,,,,
결정,10,1056,246,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1056,247,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1057,248,1000,,25600,51200,1000000,TRUE,FALSE,,,,,,,
경험치,10,1057,249,1002,,5120,5120,1000000,TRUE,FALSE,,,,,,,
결정,10,1057,250,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1057,251,1700,,52,52,700000,TRUE,FALSE,,,,,,,
고르곤의 동굴,10,1058,252,1000,,26880,53760,1000000,TRUE,FALSE,,,,,,,
경험치,10,1058,253,1002,,5240,5240,1000000,TRUE,FALSE,,,,,,,
결정,10,1058,254,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1058,255,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1059,256,1000,,28160,56320,1000000,TRUE,FALSE,,,,,,,
경험치,10,1059,257,1002,,5360,5360,1000000,TRUE,FALSE,,,,,,,
결정,10,1059,258,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1059,259,1700,,52,52,700000,TRUE,FALSE,,,,,,,
운명의 틈,10,1060,260,1000,,29440,58880,1000000,TRUE,FALSE,,,,,,,
경험치,10,1060,261,1002,,5480,5480,1000000,TRUE,FALSE,,,,,,,
결정,10,1060,262,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1060,263,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1061,264,1000,,30720,61440,1000000,TRUE,FALSE,,,,,,,
경험치,10,1061,265,1002,,5600,5600,1000000,TRUE,FALSE,,,,,,,
결정,10,1061,266,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1061,267,1700,,52,52,700000,TRUE,FALSE,,,,,,,
사막막,10,1062,268,1000,,32000,64000,1000000,TRUE,FALSE,,,,,,,
경험치,10,1062,269,1002,,5720,5720,1000000,TRUE,FALSE,,,,,,,
결정,10,1062,270,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1062,271,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1063,272,1000,,33280,66560,1000000,TRUE,FALSE,,,,,,,
경험치,10,1063,273,1002,,5840,5840,1000000,TRUE,FALSE,,,,,,,
결정,10,1063,274,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1063,275,1700,,52,52,700000,TRUE,FALSE,,,,,,,
엘프의 마을,10,1064,276,1000,,34560,69120,1000000,TRUE,FALSE,,,,,,,
경험치,10,1064,277,1002,,5960,5960,1000000,TRUE,FALSE,,,,,,,
결정,10,1064,278,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1064,279,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1065,280,1000,,35840,71680,1000000,TRUE,FALSE,,,,,,,
경험치,10,1065,281,1002,,6080,6080,1000000,TRUE,FALSE,,,,,,,
결정,10,1065,282,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1065,283,1700,,52,52,700000,TRUE,FALSE,,,,,,,
광신도 마을,10,1066,284,1000,,37120,74240,1000000,TRUE,FALSE,,,,,,,
경험치,10,1066,285,1002,,6200,6200,1000000,TRUE,FALSE,,,,,,,
결정,10,1066,286,14,,51,102,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1066,287,1700,,51,51,200000,TRUE,FALSE,,,,,,,
보스,10,1067,288,1000,,38400,76800,1000000,TRUE,FALSE,,,,,,,
경험치,10,1067,289,1002,,6320,6320,1000000,TRUE,FALSE,,,,,,,
결정,10,1067,290,14,,52,104,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,10,1067,291,1700,,52,52,700000,TRUE,FALSE,,,,,,,
지하 감옥,4,3004,292,1000,,640,1280,1000000,TRUE,FALSE,,,,,,,
경험치,4,3004,293,1002,,1880,1880,1000000,TRUE,FALSE,,,,,,,
결정,4,3004,294,11,,25,50,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,4,3004,295,1700,,25,25,200000,TRUE,FALSE,,,,,,,
보스,4,3005,296,1000,,1280,2560,1000000,TRUE,FALSE,,,,,,,
경험치,4,3005,297,1002,,2000,2000,1000000,TRUE,FALSE,,,,,,,
결정,4,3005,298,11,,26,52,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,4,3005,299,1700,,26,26,700000,TRUE,FALSE,,,,,,,
보스 재료,4,3005,300,3003,보스재료,1,1,150000,TRUE,FALSE,,,,,,,
전설 비법서,4,3005,301,1005,비법서,1,1,100000,TRUE,FALSE,,,,,,,
화산,6,3006,302,1000,,5120,10240,1000000,TRUE,FALSE,,,,,,,
경험치,6,3006,303,1002,,3200,3200,1000000,TRUE,FALSE,,,,,,,
결정,6,3006,304,12,,35,70,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,6,3006,305,1700,,35,35,200000,TRUE,FALSE,,,,,,,
보스,6,3007,306,1000,,5120,10240,1000000,TRUE,FALSE,,,,,,,
경험치,6,3007,307,1002,,3200,3200,1000000,TRUE,FALSE,,,,,,,
결정,6,3007,308,12,,36,70,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,6,3007,309,1700,,36,35,700000,TRUE,FALSE,,,,,,,
보스 재료,6,3007,310,3004,보스재료,1,1,150000,TRUE,FALSE,,,,,,,
전설 비법서,6,3007,311,1005,비법서,1,1,100000,TRUE,FALSE,,,,,,,
마계 중심부,7,3008,312,1000,,10240,20480,1000000,TRUE,FALSE,,,,,,,
경험치,7,3008,313,1002,,3680,3680,1000000,TRUE,FALSE,,,,,,,
결정,7,3008,314,12,,43,86,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,3008,315,1700,,43,43,200000,TRUE,FALSE,,,,,,,
보스,7,3009,316,1000,,10240,20480,1000000,TRUE,FALSE,,,,,,,
경험치,7,3009,317,1002,,3680,3680,1000000,TRUE,FALSE,,,,,,,
결정,7,3009,318,12,,44,88,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,7,3009,319,1700,,44,44,700000,TRUE,FALSE,,,,,,,
보스 재료,7,3009,320,3005,보스재료,1,1,150000,TRUE,FALSE,,,,,,,
전설 비법서,7,3009,321,1005,비법서,1,1,50000,TRUE,FALSE,,,,,,,
레이드 뱀장어,4,5000,322,20,레이드 토큰,100,100,1000000,TRUE,FALSE,,,,,,,
,4,5000,323,2908,토벌 증표,1,1,1000000,TRUE,FALSE,,,,,,,
,4,5000,324,1005,전설 제작 비법서,1,2,200000,TRUE,FALSE,,,,,,,
,4,5000,325,1010,비법서 조각,10,10,1000000,TRUE,FALSE,,,,,,,
